transaction_id,gl_account,amount,period,entity,business_unit,project
current_year-E1-4000-P01,4000,11200.00,1,E1,BU1,
current_year-E1-4001-P01,4001,2240.00,1,E1,BU1,
current_year-E1-5000-P01,5000,-4240.00,1,E1,BU1,
current_year-E1-6000-P01,6000,-2120.00,1,E1,BU1,
current_year-E1-6001-P01,6001,-530.00,1,E1,BU1,
current_year-E1-7000-P01,7000,-318.00,1,E1,BU1,
current_year-E2-4000-P01,4000,11200.00,1,E2,BU2,
current_year-E2-4001-P01,4001,2240.00,1,E2,BU2,
current_year-E2-5000-P01,5000,-4240.00,1,E2,BU2,
current_year-E2-6000-P01,6000,-2120.00,1,E2,BU2,
current_year-E2-6001-P01,6001,-530.00,1,E2,BU2,
current_year-E2-7000-P01,7000,-318.00,1,E2,BU2,
current_year-E1-4000-P02,4000,11200.00,2,E1,BU1,
current_year-E1-4001-P02,4001,2240.00,2,E1,BU1,
current_year-E1-5000-P02,5000,-4240.00,2,E1,BU1,
current_year-E1-6000-P02,6000,-2120.00,2,E1,BU1,
current_year-E1-6001-P02,6001,-530.00,2,E1,BU1,
current_year-E1-7000-P02,7000,-318.00,2,E1,BU1,
current_year-E2-4000-P02,4000,11200.00,2,E2,BU2,
current_year-E2-4001-P02,4001,2240.00,2,E2,BU2,
current_year-E2-5000-P02,5000,-4240.00,2,E2,BU2,
current_year-E2-6000-P02,6000,-2120.00,2,E2,BU2,
current_year-E2-6001-P02,6001,-530.00,2,E2,BU2,
current_year-E2-7000-P02,7000,-318.00,2,E2,BU2,
current_year-E1-4000-P03,4000,11200.00,3,E1,BU1,
current_year-E1-4001-P03,4001,2240.00,3,E1,BU1,
current_year-E1-5000-P03,5000,-4240.00,3,E1,BU1,
current_year-E1-6000-P03,6000,-2120.00,3,E1,BU1,
current_year-E1-6001-P03,6001,-530.00,3,E1,BU1,
current_year-E1-7000-P03,7000,-318.00,3,E1,BU1,
current_year-E2-4000-P03,4000,11200.00,3,E2,BU2,
current_year-E2-4001-P03,4001,2240.00,3,E2,BU2,
current_year-E2-5000-P03,5000,-4240.00,3,E2,BU2,
current_year-E2-6000-P03,6000,-2120.00,3,E2,BU2,
current_year-E2-6001-P03,6001,-530.00,3,E2,BU2,
current_year-E2-7000-P03,7000,-318.00,3,E2,BU2,
current_year-E1-4000-P04,4000,11200.00,4,E1,BU1,
current_year-E1-4001-P04,4001,2240.00,4,E1,BU1,
current_year-E1-5000-P04,5000,-4240.00,4,E1,BU1,
current_year-E1-6000-P04,6000,-2120.00,4,E1,BU1,
current_year-E1-6001-P04,6001,-530.00,4,E1,BU1,
current_year-E1-7000-P04,7000,-318.00,4,E1,BU1,
current_year-E2-4000-P04,4000,11200.00,4,E2,BU2,
current_year-E2-4001-P04,4001,2240.00,4,E2,BU2,
current_year-E2-5000-P04,5000,-4240.00,4,E2,BU2,
current_year-E2-6000-P04,6000,-2120.00,4,E2,BU2,
current_year-E2-6001-P04,6001,-530.00,4,E2,BU2,
current_year-E2-7000-P04,7000,-318.00,4,E2,BU2,
current_year-E1-4000-P05,4000,11200.00,5,E1,BU1,
current_year-E1-4001-P05,4001,2240.00,5,E1,BU1,
current_year-E1-5000-P05,5000,-4240.00,5,E1,BU1,
current_year-E1-6000-P05,6000,-2120.00,5,E1,BU1,
current_year-E1-6001-P05,6001,-530.00,5,E1,BU1,
current_year-E1-7000-P05,7000,-318.00,5,E1,BU1,
current_year-E2-4000-P05,4000,11200.00,5,E2,BU2,
current_year-E2-4001-P05,4001,2240.00,5,E2,BU2,
current_year-E2-5000-P05,5000,-4240.00,5,E2,BU2,
current_year-E2-6000-P05,6000,-2120.00,5,E2,BU2,
current_year-E2-6001-P05,6001,-530.00,5,E2,BU2,
current_year-E2-7000-P05,7000,-318.00,5,E2,BU2,
current_year-E1-4000-P06,4000,11200.00,6,E1,BU1,
current_year-E1-4001-P06,4001,2240.00,6,E1,BU1,
current_year-E1-5000-P06,5000,-4240.00,6,E1,BU1,
current_year-E1-6000-P06,6000,-2120.00,6,E1,BU1,
current_year-E1-6001-P06,6001,-530.00,6,E1,BU1,
current_year-E1-7000-P06,7000,-318.00,6,E1,BU1,
current_year-E2-4000-P06,4000,11200.00,6,E2,BU2,
current_year-E2-4001-P06,4001,2240.00,6,E2,BU2,
current_year-E2-5000-P06,5000,-4240.00,6,E2,BU2,
current_year-E2-6000-P06,6000,-2120.00,6,E2,BU2,
current_year-E2-6001-P06,6001,-530.00,6,E2,BU2,
current_year-E2-7000-P06,7000,-318.00,6,E2,BU2,
